state,year,quater,brand,count,percentage
andaman-&-nicobar-islands,2018,4,Xiaomi,3719,0
andaman-&-nicobar-islands,2018,4,Samsung,2936,0
andaman-&-nicobar-islands,2018,4,Vivo,2742,0
andaman-&-nicobar-islands,2018,4,Oppo,1268,0
andaman-&-nicobar-islands,2018,4,Realme,760,0
andaman-&-nicobar-islands,2018,4,OnePlus,721,0
andaman-&-nicobar-islands,2018,4,Motorola,474,0
andaman-&-nicobar-islands,2018,4,Apple,455,0
andaman-&-nicobar-islands,2018,4,Huawei,398,0
andaman-&-nicobar-islands,2018,4,Lenovo,377,0
andaman-&-nicobar-islands,2018,4,Others,1372,0
andhra-pradesh,2018,4,Xiaomi,1753802,0
andhra-pradesh,2018,4,Samsung,1388061,0
andhra-pradesh,2018,4,Vivo,1011185,0
andhra-pradesh,2018,4,Oppo,675093,0
andhra-pradesh,2018,4,Realme,476746,0
andhra-pradesh,2018,4,Motorola,250601,0
andhra-pradesh,2018,4,OnePlus,210161,0
andhra-pradesh,2018,4,Apple,209737,0
andhra-pradesh,2018,4,Huawei,176237,0
andhra-pradesh,2018,4,Lenovo,149583,0
andhra-pradesh,2018,4,Others,556203,0
arunachal-pradesh,2018,4,Xiaomi,15097,0
arunachal-pradesh,2018,4,Samsung,12580,0
arunachal-pradesh,2018,4,Vivo,11624,0
arunachal-pradesh,2018,4,Oppo,8328,0
arunachal-pradesh,2018,4,Realme,3613,0
arunachal-pradesh,2018,4,Apple,1517,0
arunachal-pradesh,2018,4,Gionee,1188,0
arunachal-pradesh,2018,4,Motorola,944,0
arunachal-pradesh,2018,4,OnePlus,896,0
arunachal-pradesh,2018,4,Lenovo,831,0
arunachal-pradesh,2018,4,Others,5234,0
assam,2018,4,Xiaomi,277115,0
assam,2018,4,Vivo,169404,0
assam,2018,4,Samsung,167786,0
assam,2018,4,Oppo,122447,0
assam,2018,4,Realme,70255,0
assam,2018,4,Motorola,21507,0
assam,2018,4,Lenovo,20275,0
assam,2018,4,Gionee,20028,0
assam,2018,4,Asus,19175,0
assam,2018,4,Huawei,17882,0
assam,2018,4,Others,133347,0
bihar,2018,4,Xiaomi,1399341,0
bihar,2018,4,Samsung,1008369,0
